maintenance_id,failure_id,device_id,maintenance_date,engineer,issue,repair_cost,repair_time_hours,status
31,31,D0001,2026-03-19 02:00:00,Anjali Nair,Antenna Replacement,1667,1,Completed
32,32,D0001,2026-03-20 16:00:00,Priya Verma,Firmware Update,654,1,Completed
33,33,D0001,2026-03-21 17:00:00,Neha Sharma,Firmware Update,1079,2,Completed
34,34,D0001,2026-03-24 16:00:00,Karan Patel,Firmware Update,697,2,Completed
35,35,D0002,2026-01-06 22:00:00,Rahul Sharma,Antenna Replacement,2626,2,Completed
36,36,D0002,2026-01-07 01:00:00,Rahul Sharma,Antenna Replacement,3015,1,Completed
37,37,D0002,2026-01-10 13:00:00,Vikas Rao,Firmware Update,1406,1,In Progress
38,38,D0002,2026-01-14 13:00:00,Rohit Singh,Firmware Update,1325,1,Completed
39,39,D0002,2026-01-15 08:00:00,Neha Sharma,Antenna Replacement,3424,2,Completed
40,40,D0002,2026-01-16 17:00:00,Vikas Rao,Antenna Replacement,1767,1,In Progress
41,41,D0002,2026-01-18 17:00:00,Anjali Nair,Firmware Update,1334,2,Completed
42,42,D0002,2026-02-12 00:00:00,Rahul Sharma,Antenna Replacement,2271,2,Completed
43,43,D0002,2026-02-13 14:00:00,Amit Kumar,Firmware Update,1795,2,Completed
44,44,D0002,2026-02-14 13:00:00,Karan Patel,Firmware Update,1239,2,In Progress
45,45,D0002,2026-02-16 09:00:00,Rahul Sharma,Antenna Replacement,2721,2,In Progress
46,46,D0002,2026-02-16 12:00:00,Anjali Nair,Firmware Update,957,2,In Progress
47,47,D0002,2026-02-19 12:00:00,Arjun Mehta,Firmware Update,1260,1,Completed
48,48,D0002,2026-02-19 23:00:00,Vikas Rao,Antenna Replacement,1799,2,Completed
49,49,D0002,2026-02-22 12:00:00,Vikas Rao,Firmware Update,1678,1,Completed
50,50,D0002,2026-02-23 18:00:00,Sneha Gupta,Antenna Replacement,2731,2,In Progress
51,51,D0002,2026-02-25 05:00:00,Amit Kumar,Antenna Replacement,3517,1,Completed
52,52,D0002,2026-02-25 06:00:00,Vikas Rao,Antenna Replacement,2276,2,Completed
53,53,D0002,2026-02-27 15:00:00,Vikas Rao,Firmware Update,1390,2,Completed
54,54,D0002,2026-02-27 21:00:00,Karan Patel,Antenna Replacement,2021,2,Completed
55,55,D0002,2026-03-06 17:00:00,Neha Sharma,Firmware Update,1468,2,Completed
56,56,D0002,2026-03-15 13:00:00,Amit Kumar,Firmware Update,1825,2,Completed
57,57,D0002,2026-03-16 13:00:00,Vikas Rao,Firmware Update,1056,2,Completed
58,58,D0002,2026-03-20 06:00:00,Neha Sharma,Antenna Replacement,3653,2,Completed
59,59,D0002,2026-03-20 14:00:00,Anjali Nair,Antenna Replacement,3983,1,Completed
60,60,D0002,2026-03-20 16:00:00,Rahul Sharma,Antenna Replacement,3247,1,In Progress
61,61,D0002,2026-03-20 23:00:00,Anjali Nair,Antenna Replacement,3297,2,Completed
62,62,D0002,2026-03-21 12:00:00,Sneha Gupta,Antenna Replacement,2123,1,Completed
63,63,D0002,2026-03-21 15:00:00,Neha Sharma,Firmware Update,788,2,Completed
64,64,D0002,2026-03-26 07:00:00,Sneha Gupta,Antenna Replacement,2908,2,Completed
65,65,D0003,2026-01-03 01:00:00,Karan Patel,Antenna Replacement,3911,2,Completed
66,66,D0003,2026-01-03 20:00:00,Vikas Rao,Antenna Replacement,2017,1,In Progress
67,67,D0003,2026-01-06 05:00:00,Amit Kumar,Antenna Replacement,1550,1,In Progress
68,68,D0003,2026-01-06 13:00:00,Vikas Rao,Firmware Update,915,1,In Progress
69,69,D0003,2026-01-17 17:00:00,Priya Verma,Firmware Update,1725,2,Completed
70,70,D0003,2026-01-18 13:00:00,Arjun Mehta,Antenna Replacement,3263,1,In Progress
71,71,D0003,2026-01-21 15:00:00,Amit Kumar,Antenna Replacement,3729,1,Completed
72,72,D0003,2026-01-25 11:00:00,Vikas Rao,Antenna Replacement,2642,1,Completed
73,73,D0003,2026-02-01 19:00:00,Vikas Rao,Antenna Replacement,3217,1,Completed
74,74,D0003,2026-02-02 05:00:00,Rahul Sharma,Antenna Replacement,3172,1,In Progress
75,75,D0003,2026-02-03 05:00:00,Karan Patel,Antenna Replacement,2837,2,Completed
76,76,D0003,2026-02-04 08:00:00,Neha Sharma,Antenna Replacement,2220,1,In Progress
77,77,D0003,2026-02-04 16:00:00,Priya Verma,Antenna Replacement,2740,2,In Progress
78,78,D0003,2026-02-06 17:00:00,Sneha Gupta,Firmware Update,1234,1,Completed
79,79,D0003,2026-02-08 18:00:00,Rahul Sharma,Antenna Replacement,2452,1,In Progress
80,80,D0003,2026-02-27 08:00:00,Sneha Gupta,Antenna Replacement,1562,2,Completed
81,81,D0003,2026-02-28 19:00:00,Amit Kumar,Antenna Replacement,2217,2,In Progress
82,82,D0003,2026-03-03 06:00:00,Rahul Sharma,Antenna Replacement,2932,2,Completed
83,83,D0003,2026-03-03 14:00:00,Anjali Nair,Antenna Replacement,3306,1,In Progress
84,84,D0003,2026-03-10 13:00:00,Neha Sharma,Antenna Replacement,2711,1,Completed
85,85,D0003,2026-03-17 20:00:00,Neha Sharma,Antenna Replacement,2283,1,Completed
86,86,D0003,2026-03-18 01:00:00,Priya Verma,Antenna Replacement,2048,1,Completed
87,87,D0003,2026-03-18 10:00:00,Amit Kumar,Antenna Replacement,2622,2,Completed
88,88,D0003,2026-03-27 17:00:00,Neha Sharma,Firmware Update,1474,2,Completed
89,89,D0004,2026-01-04 13:00:00,Karan Patel,Firmware Update,1670,1,In Progress
90,90,D0004,2026-01-04 21:00:00,Amit Kumar,Antenna Replacement,2058,1,Completed
91,91,D0004,2026-01-06 17:00:00,Sneha Gupta,Firmware Update,682,1,Completed
92,92,D0004,2026-01-08 07:00:00,Vikas Rao,Antenna Replacement,2697,2,Completed
93,93,D0004,2026-01-16 19:00:00,Karan Patel,Antenna Replacement,1757,2,Completed
94,94,D0004,2026-01-17 12:00:00,Anjali Nair,Firmware Update,1809,2,Completed
95,95,D0004,2026-01-17 13:00:00,Neha Sharma,Firmware Update,1549,2,In Progress
96,96,D0004,2026-01-22 18:00:00,Vikas Rao,Antenna Replacement,1587,1,Completed
97,97,D0004,2026-01-29 15:00:00,Sneha Gupta,Antenna Replacement,2309,2,Completed
98,98,D0004,2026-01-30 12:00:00,Neha Sharma,Antenna Replacement,2087,1,Completed
99,99,D0004,2026-01-30 14:00:00,Priya Verma,Firmware Update,629,2,Completed
100,100,D0004,2026-02-02 21:00:00,Rohit Singh,Antenna Replacement,2796,1,Completed
101,101,D0004,2026-02-05 17:00:00,Anjali Nair,Antenna Replacement,2713,2,Completed
102,102,D0004,2026-02-12 03:00:00,Priya Verma,Antenna Replacement,2450,2,Completed
103,103,D0004,2026-02-15 11:00:00,Neha Sharma,Antenna Replacement,1790,2,Completed
104,104,D0004,2026-02-19 13:00:00,Vikas Rao,Antenna Replacement,1766,1,Completed
105,105,D0004,2026-02-25 19:00:00,Priya Verma,Antenna Replacement,2383,1,Completed
106,106,D0004,2026-02-27 00:00:00,Rohit Singh,Antenna Replacement,2084,1,Completed
107,107,D0004,2026-02-27 08:00:00,Arjun Mehta,Antenna Replacement,3557,2,Completed
108,108,D0004,2026-03-01 09:00:00,Vikas Rao,Antenna Replacement,1622,2,In Progress
109,109,D0004,2026-03-13 02:00:00,Vikas Rao,Antenna Replacement,3753,1,Completed
110,110,D0004,2026-03-18 18:00:00,Sneha Gupta,Antenna Replacement,1588,1,Completed
111,111,D0004,2026-03-18 19:00:00,Amit Kumar,Antenna Replacement,1659,2,In Progress
112,112,D0004,2026-03-20 10:00:00,Anjali Nair,Antenna Replacement,2141,1,Completed
113,113,D0004,2026-03-23 14:00:00,Sneha Gupta,Firmware Update,632,1,Completed
114,114,D0004,2026-03-23 19:00:00,Rahul Sharma,Antenna Replacement,3925,2,In Progress
115,115,D0005,2026-01-04 19:00:00,Priya Verma,Antenna Replacement,2762,1,In Progress
116,116,D0005,2026-01-07 09:00:00,Anjali Nair,Antenna Replacement,3421,1,Completed
117,117,D0005,2026-01-14 21:00:00,Rahul Sharma,Antenna Replacement,2007,2,Completed
118,118,D0005,2026-01-16 15:00:00,Amit Kumar,Antenna Replacement,3634,2,Completed
119,119,D0005,2026-01-17 00:00:00,Rahul Sharma,Antenna Replacement,1698,2,Completed
120,120,D0005,2026-01-18 14:00:00,Amit Kumar,Firmware Update,698,1,In Progress
121,121,D0005,2026-01-19 23:00:00,Neha Sharma,Antenna Replacement,1671,2,Completed
122,122,D0005,2026-01-23 09:00:00,Sneha Gupta,Antenna Replacement,1590,2,Completed
123,123,D0005,2026-01-27 22:00:00,Neha Sharma,Antenna Replacement,1940,1,Completed
124,124,D0005,2026-01-29 10:00:00,Priya Verma,Antenna Replacement,2220,2,Completed
125,125,D0005,2026-01-29 16:00:00,Vikas Rao,Antenna Replacement,1963,2,In Progress
126,126,D0005,2026-01-30 14:00:00,Vikas Rao,Firmware Update,1751,2,Completed
127,127,D0005,2026-01-30 21:00:00,Priya Verma,Antenna Replacement,2165,2,In Progress
128,128,D0005,2026-02-05 00:00:00,Karan Patel,Antenna Replacement,1544,2,In Progress
129,129,D0005,2026-02-07 16:00:00,Karan Patel,Firmware Update,523,2,In Progress
130,130,D0005,2026-02-08 23:00:00,Anjali Nair,Antenna Replacement,2799,2,Completed
131,131,D0005,2026-02-12 04:00:00,Karan Patel,Antenna Replacement,2428,2,In Progress
132,132,D0005,2026-02-13 06:00:00,Sneha Gupta,Antenna Replacement,1873,1,Completed
133,133,D0005,2026-02-20 05:00:00,Rohit Singh,Antenna Replacement,3950,2,In Progress
134,134,D0005,2026-02-20 16:00:00,Neha Sharma,Firmware Update,1128,2,Completed
135,135,D0005,2026-02-26 20:00:00,Rahul Sharma,Antenna Replacement,2840,2,Completed
136,136,D0005,2026-02-28 15:00:00,Rohit Singh,Antenna Replacement,3361,1,Completed
137,137,D0005,2026-03-02 04:00:00,Karan Patel,Antenna Replacement,2901,1,Completed
138,138,D0005,2026-03-06 11:00:00,Rohit Singh,Antenna Replacement,2716,2,In Progress
139,139,D0005,2026-03-06 12:00:00,Vikas Rao,Antenna Replacement,3426,2,Completed
140,140,D0005,2026-03-09 04:00:00,Karan Patel,Antenna Replacement,3961,2,Completed
141,141,D0005,2026-03-17 08:00:00,Sneha Gupta,Antenna Replacement,2964,2,In Progress
142,142,D0005,2026-03-19 14:00:00,Arjun Mehta,Antenna Replacement,2010,1,Completed
143,143,D0005,2026-03-20 03:00:00,Neha Sharma,Antenna Replacement,3540,1,Completed
144,144,D0005,2026-03-23 08:00:00,Rahul Sharma,Antenna Replacement,2070,2,Completed
145,145,D0005,2026-03-23 19:00:00,Karan Patel,Antenna Replacement,2887,2,In Progress
146,146,D0005,2026-03-26 17:00:00,Rohit Singh,Antenna Replacement,2107,2,Completed
147,147,D0005,2026-03-28 00:00:00,Rahul Sharma,Antenna Replacement,2484,2,Completed
148,148,D0005,2026-03-31 11:00:00,Priya Verma,Antenna Replacement,2941,2,In Progress
149,149,D0006,2026-01-02 16:00:00,Neha Sharma,Firmware Update,609,1,Completed
150,150,D0006,2026-01-05 20:00:00,Vikas Rao,Antenna Replacement,1760,1,Completed
151,151,D0006,2026-01-07 07:00:00,Vikas Rao,Antenna Replacement,3163,2,Completed
152,152,D0006,2026-01-07 18:00:00,Sneha Gupta,Antenna Replacement,1895,1,In Progress
153,153,D0006,2026-01-09 07:00:00,Amit Kumar,Antenna Replacement,2952,2,Completed
154,154,D0006,2026-01-16 13:00:00,Karan Patel,Firmware Update,1591,1,In Progress
155,155,D0006,2026-01-17 16:00:00,Arjun Mehta,Firmware Update,1770,1,Completed
156,156,D0006,2026-01-18 21:00:00,Arjun Mehta,Antenna Replacement,1796,1,In Progress
157,157,D0006,2026-01-19 14:00:00,Sneha Gupta,Antenna Replacement,3506,1,Completed
158,158,D0006,2026-01-21 20:00:00,Rohit Singh,Antenna Replacement,1537,2,Completed
159,159,D0006,2026-01-24 15:00:00,Anjali Nair,Firmware Update,710,1,Completed
160,160,D0006,2026-01-27 12:00:00,Neha Sharma,Firmware Update,1893,2,In Progress
161,161,D0006,2026-01-28 15:00:00,Priya Verma,Antenna Replacement,2436,2,In Progress
162,162,D0006,2026-01-29 01:00:00,Amit Kumar,Antenna Replacement,3728,1,Completed
163,163,D0006,2026-01-31 22:00:00,Sneha Gupta,Antenna Replacement,3883,1,Completed
164,164,D0006,2026-02-02 15:00:00,Vikas Rao,Firmware Update,661,2,Completed
165,165,D0006,2026-02-03 03:00:00,Neha Sharma,Antenna Replacement,1983,2,In Progress
166,166,D0006,2026-02-05 16:00:00,Neha Sharma,Firmware Update,1725,1,Completed
167,167,D0006,2026-02-17 13:00:00,Amit Kumar,Firmware Update,762,1,In Progress
168,168,D0006,2026-02-21 16:00:00,Vikas Rao,Firmware Update,1932,1,In Progress
169,169,D0006,2026-02-26 01:00:00,Rahul Sharma,Antenna Replacement,2458,2,Completed
170,170,D0006,2026-02-26 13:00:00,Vikas Rao,Antenna Replacement,2527,1,In Progress
171,171,D0006,2026-03-02 16:00:00,Karan Patel,Firmware Update,1015,2,Completed
172,172,D0006,2026-03-02 17:00:00,Priya Verma,Antenna Replacement,2558,2,Completed
173,173,D0006,2026-03-05 12:00:00,Rohit Singh,Antenna Replacement,1807,1,In Progress
174,174,D0006,2026-03-10 15:00:00,Sneha Gupta,Firmware Update,1640,1,In Progress
175,175,D0006,2026-03-12 14:00:00,Arjun Mehta,Firmware Update,1558,2,Completed
176,176,D0006,2026-03-20 17:00:00,Neha Sharma,Antenna Replacement,2497,2,Completed
177,177,D0006,2026-03-21 03:00:00,Rohit Singh,Antenna Replacement,3179,2,Completed
178,178,D0006,2026-03-21 12:00:00,Amit Kumar,Firmware Update,1095,2,In Progress
179,179,D0006,2026-03-23 06:00:00,Anjali Nair,Antenna Replacement,3882,2,Completed
180,180,D0006,2026-03-23 17:00:00,Arjun Mehta,Firmware Update,730,1,Completed
181,181,D0006,2026-03-27 12:00:00,Rahul Sharma,Antenna Replacement,2233,2,In Progress
182,182,D0006,2026-03-29 19:00:00,Priya Verma,Antenna Replacement,1935,1,Completed
183,183,D0007,2026-01-04 14:00:00,Arjun Mehta,Antenna Replacement,1681,1,Completed
184,184,D0007,2026-01-04 20:00:00,Karan Patel,Antenna Replacement,3203,2,Completed
185,185,D0007,2026-01-08 22:00:00,Sneha Gupta,Antenna Replacement,3914,2,Completed
186,186,D0007,2026-01-10 21:00:00,Vikas Rao,Antenna Replacement,3340,2,In Progress
187,187,D0007,2026-01-16 14:00:00,Karan Patel,Antenna Replacement,3267,2,In Progress
188,188,D0007,2026-01-16 17:00:00,Vikas Rao,Firmware Update,1275,2,Completed
189,189,D0007,2026-01-18 15:00:00,Rohit Singh,Firmware Update,540,2,Completed
190,190,D0007,2026-01-25 14:00:00,Anjali Nair,Antenna Replacement,3118,2,Completed
191,191,D0007,2026-01-28 14:00:00,Rahul Sharma,Firmware Update,1783,2,Completed
192,192,D0007,2026-01-29 12:00:00,Karan Patel,Firmware Update,702,1,Completed
193,193,D0007,2026-01-30 15:00:00,Arjun Mehta,Firmware Update,1362,2,Completed
194,194,D0007,2026-02-08 14:00:00,Amit Kumar,Firmware Update,922,1,Completed
195,195,D0007,2026-02-11 21:00:00,Sneha Gupta,Antenna Replacement,2973,1,Completed
196,196,D0007,2026-02-15 17:00:00,Sneha Gupta,Firmware Update,1216,2,In Progress
197,197,D0007,2026-02-22 14:00:00,Rahul Sharma,Firmware Update,1434,2,Completed
198,198,D0007,2026-02-25 03:00:00,Neha Sharma,Antenna Replacement,1739,2,Completed
199,199,D0007,2026-03-02 02:00:00,Amit Kumar,Antenna Replacement,3167,1,Completed
200,200,D0007,2026-03-04 09:00:00,Neha Sharma,Antenna Replacement,2227,2,Completed
201,201,D0007,2026-03-06 16:00:00,Vikas Rao,Antenna Replacement,3097,2,Completed
202,202,D0007,2026-03-14 02:00:00,Karan Patel,Antenna Replacement,2383,1,Completed
203,203,D0007,2026-03-21 10:00:00,Vikas Rao,Antenna Replacement,2959,1,Completed
204,204,D0007,2026-03-22 15:00:00,Karan Patel,Antenna Replacement,3101,1,Completed
205,205,D0007,2026-03-23 21:00:00,Karan Patel,Antenna Replacement,2489,2,Completed
206,206,D0007,2026-03-27 12:00:00,Karan Patel,Antenna Replacement,3440,2,Completed
207,207,D0008,2026-01-08 15:00:00,Sneha Gupta,Firmware Update,847,1,Completed
208,208,D0008,2026-01-09 01:00:00,Neha Sharma,Antenna Replacement,3772,2,Completed
209,209,D0008,2026-01-09 09:00:00,Sneha Gupta,Antenna Replacement,1873,2,Completed
210,210,D0008,2026-01-09 14:00:00,Karan Patel,Firmware Update,753,2,In Progress
211,211,D0008,2026-01-11 16:00:00,Sneha Gupta,Firmware Update,1374,1,In Progress
212,212,D0008,2026-01-14 14:00:00,Sneha Gupta,Antenna Replacement,3317,1,In Progress
213,213,D0008,2026-01-15 17:00:00,Vikas Rao,Antenna Replacement,1798,2,Completed
214,214,D0008,2026-01-15 23:00:00,Vikas Rao,Antenna Replacement,3002,1,Completed
215,215,D0008,2026-01-16 12:00:00,Rohit Singh,Antenna Replacement,2308,2,Completed
216,216,D0008,2026-01-19 13:00:00,Karan Patel,Antenna Replacement,2081,2,Completed
217,217,D0008,2026-01-19 18:00:00,Sneha Gupta,Antenna Replacement,2852,2,In Progress
218,218,D0008,2026-01-22 02:00:00,Neha Sharma,Antenna Replacement,2034,2,In Progress
219,219,D0008,2026-01-27 00:00:00,Rahul Sharma,Antenna Replacement,2943,1,Completed
220,220,D0008,2026-01-29 10:00:00,Arjun Mehta,Antenna Replacement,2948,1,In Progress
221,221,D0008,2026-02-04 12:00:00,Sneha Gupta,Firmware Update,1716,1,Completed
222,222,D0008,2026-02-04 13:00:00,Amit Kumar,Antenna Replacement,3285,1,Completed
223,223,D0008,2026-02-05 17:00:00,Rahul Sharma,Firmware Update,1934,2,In Progress
224,224,D0008,2026-02-06 15:00:00,Neha Sharma,Antenna Replacement,3676,1,In Progress
225,225,D0008,2026-02-07 08:00:00,Priya Verma,Antenna Replacement,2182,1,Completed
226,226,D0008,2026-02-09 15:00:00,Rohit Singh,Antenna Replacement,3998,1,Completed
227,227,D0008,2026-02-13 15:00:00,Neha Sharma,Firmware Update,679,1,Completed
228,228,D0008,2026-02-14 01:00:00,Sneha Gupta,Antenna Replacement,3047,1,In Progress
229,229,D0008,2026-02-14 07:00:00,Arjun Mehta,Antenna Replacement,3426,2,Completed
230,230,D0008,2026-02-19 18:00:00,Neha Sharma,Antenna Replacement,2390,1,Completed
231,231,D0008,2026-02-23 03:00:00,Priya Verma,Antenna Replacement,2711,2,Completed
232,232,D0008,2026-03-04 13:00:00,Rahul Sharma,Firmware Update,1193,2,Completed
233,233,D0008,2026-03-05 15:00:00,Amit Kumar,Antenna Replacement,2018,2,Completed
234,234,D0008,2026-03-07 22:00:00,Anjali Nair,Antenna Replacement,3398,2,Completed
235,235,D0008,2026-03-08 23:00:00,Rohit Singh,Antenna Replacement,3159,2,Completed
236,236,D0008,2026-03-11 03:00:00,Sneha Gupta,Antenna Replacement,2868,2,In Progress
237,237,D0008,2026-03-16 10:00:00,Amit Kumar,Antenna Replacement,3501,2,Completed
238,238,D0008,2026-03-18 05:00:00,Arjun Mehta,Antenna Replacement,2534,2,Completed
239,239,D0008,2026-03-21 07:00:00,Amit Kumar,Antenna Replacement,3397,1,Completed
240,240,D0008,2026-03-29 15:00:00,Vikas Rao,Firmware Update,1447,1,In Progress
241,241,D0008,2026-03-30 15:00:00,Rahul Sharma,Antenna Replacement,2123,1,Completed
242,242,D0009,2026-01-01 16:00:00,Vikas Rao,Firmware Update,1344,1,Completed
243,243,D0009,2026-01-11 17:00:00,Rahul Sharma,Firmware Update,1224,1,Completed
244,244,D0009,2026-01-12 15:00:00,Amit Kumar,Antenna Replacement,2935,1,Completed
245,245,D0009,2026-01-13 05:00:00,Vikas Rao,Antenna Replacement,1973,2,Completed
246,246,D0009,2026-01-16 11:00:00,Neha Sharma,Antenna Replacement,2121,2,Completed
247,247,D0009,2026-01-18 14:00:00,Rohit Singh,Antenna Replacement,3389,2,Completed
248,248,D0009,2026-01-19 22:00:00,Sneha Gupta,Antenna Replacement,3898,1,Completed
249,249,D0009,2026-01-21 01:00:00,Neha Sharma,Antenna Replacement,3514,1,Completed
250,250,D0009,2026-01-23 13:00:00,Sneha Gupta,Antenna Replacement,1764,1,Completed
251,251,D0009,2026-01-24 08:00:00,Neha Sharma,Antenna Replacement,2102,2,Completed
252,252,D0009,2026-01-27 11:00:00,Karan Patel,Antenna Replacement,3611,1,Completed
253,253,D0009,2026-01-30 11:00:00,Karan Patel,Antenna Replacement,1591,2,Completed
254,254,D0009,2026-01-31 14:00:00,Arjun Mehta,Antenna Replacement,3239,2,In Progress
255,255,D0009,2026-02-03 09:00:00,Sneha Gupta,Antenna Replacement,2561,2,Completed
256,256,D0009,2026-02-06 15:00:00,Rohit Singh,Firmware Update,744,1,Completed
257,257,D0009,2026-02-09 18:00:00,Rahul Sharma,Antenna Replacement,2799,2,Completed
258,258,D0009,2026-02-11 00:00:00,Arjun Mehta,Antenna Replacement,3118,2,Completed
259,259,D0009,2026-02-14 20:00:00,Amit Kumar,Antenna Replacement,3707,1,Completed
260,260,D0009,2026-02-16 04:00:00,Amit Kumar,Antenna Replacement,1597,1,In Progress
261,261,D0009,2026-02-21 15:00:00,Rahul Sharma,Firmware Update,1926,2,In Progress
262,262,D0009,2026-02-26 22:00:00,Amit Kumar,Antenna Replacement,2650,2,Completed
263,263,D0009,2026-03-06 21:00:00,Neha Sharma,Antenna Replacement,3640,2,Completed
264,264,D0009,2026-03-12 16:00:00,Karan Patel,Firmware Update,1764,2,Completed
265,265,D0009,2026-03-15 08:00:00,Rahul Sharma,Antenna Replacement,2617,1,Completed
266,266,D0009,2026-03-19 19:00:00,Anjali Nair,Antenna Replacement,2074,2,Completed
267,267,D0009,2026-03-24 13:00:00,Amit Kumar,Firmware Update,592,2,In Progress
268,268,D0009,2026-03-30 00:00:00,Amit Kumar,Antenna Replacement,2988,2,Completed
269,269,D0009,2026-03-30 01:00:00,Karan Patel,Antenna Replacement,1985,1,Completed
270,270,D0009,2026-03-30 12:00:00,Vikas Rao,Antenna Replacement,3453,2,In Progress
271,271,D0010,2026-01-01 20:00:00,Anjali Nair,Antenna Replacement,2266,1,Completed
272,272,D0010,2026-01-05 17:00:00,Rohit Singh,Firmware Update,604,1,Completed
273,273,D0010,2026-01-06 20:00:00,Arjun Mehta,Antenna Replacement,3747,2,Completed
274,274,D0010,2026-01-10 21:00:00,Amit Kumar,Antenna Replacement,3396,2,Completed
275,275,D0010,2026-01-11 17:00:00,Arjun Mehta,Firmware Update,1562,1,Completed
276,276,D0010,2026-01-23 14:00:00,Vikas Rao,Antenna Replacement,2424,2,Completed
277,277,D0010,2026-01-27 17:00:00,Anjali Nair,Antenna Replacement,3580,2,Completed
278,278,D0010,2026-01-30 17:00:00,Priya Verma,Antenna Replacement,3060,1,Completed
279,279,D0010,2026-02-04 00:00:00,Priya Verma,Antenna Replacement,3020,2,Completed
280,280,D0010,2026-02-23 18:00:00,Neha Sharma,Antenna Replacement,3022,2,Completed
281,281,D0010,2026-02-28 16:00:00,Sneha Gupta,Firmware Update,1432,2,Completed
282,282,D0010,2026-03-01 02:00:00,Rohit Singh,Antenna Replacement,2012,1,Completed
283,283,D0010,2026-03-04 16:00:00,Vikas Rao,Antenna Replacement,1754,2,Completed
284,284,D0010,2026-03-05 01:00:00,Priya Verma,Antenna Replacement,1719,2,Completed
285,285,D0010,2026-03-10 00:00:00,Neha Sharma,Antenna Replacement,2141,2,In Progress
286,286,D0010,2026-03-12 17:00:00,Rahul Sharma,Firmware Update,999,1,In Progress
287,287,D0010,2026-03-13 12:00:00,Arjun Mehta,Antenna Replacement,2297,1,Completed
288,288,D0010,2026-03-15 17:00:00,Rahul Sharma,Antenna Replacement,2730,1,Completed
289,289,D0010,2026-03-16 08:00:00,Rahul Sharma,Antenna Replacement,1745,2,Completed
290,290,D0010,2026-03-17 04:00:00,Sneha Gupta,Antenna Replacement,3808,1,In Progress
291,291,D0010,2026-03-17 10:00:00,Amit Kumar,Antenna Replacement,1971,2,Completed
292,292,D0010,2026-03-18 11:00:00,Priya Verma,Antenna Replacement,1867,1,Completed
293,293,D0010,2026-03-19 11:00:00,Sneha Gupta,Antenna Replacement,2717,1,Completed
294,294,D0010,2026-03-29 16:00:00,Rahul Sharma,Antenna Replacement,2054,1,Completed
295,295,D0011,2026-01-01 07:00:00,Sneha Gupta,Antenna Replacement,2236,1,Completed
296,296,D0011,2026-01-02 03:00:00,Sneha Gupta,Antenna Replacement,2773,2,Completed
297,297,D0011,2026-01-02 06:00:00,Vikas Rao,Antenna Replacement,3859,1,Completed
